"","speaker","trial_num","tune","erb","erbc","normtime","prop_dur","speaker_trial"
"122","speaker1",5,"HHL",4.18244865997431,-0.552345856182582,2,0.0666666666666667,"speaker1_5"
"123","speaker1",5,"HHL",4.17013976221329,-0.564654753943603,3,0.1,"speaker1_5"
"124","speaker1",5,"HHL",4.17078800551858,-0.564006510638312,4,0.133333333333333,"speaker1_5"
"125","speaker1",5,"HHL",4.16578239397917,-0.569012122177722,5,0.166666666666667,"speaker1_5"
"126","speaker1",5,"HHL",4.18206020710789,-0.552734309048998,6,0.2,"speaker1_5"
"127","speaker1",5,"HHL",4.18866169875799,-0.546132817398899,7,0.233333333333333,"speaker1_5"
"128","speaker1",5,"HHL",4.20725010588673,-0.527544410270159,8,0.266666666666667,"speaker1_5"
"129","speaker1",5,"HHL",4.32017557265119,-0.414618943505699,9,0.3,"speaker1_5"
"130","speaker1",5,"HHL",4.52366215805698,-0.21113235809991,10,0.333333333333333,"speaker1_5"
"131","speaker1",5,"HHL",4.81703853893286,0.0822440227759671,11,0.366666666666667,"speaker1_5"
"132","speaker1",5,"HHL",5.16138975682626,0.426595240669372,12,0.4,"speaker1_5"
"133","speaker1",5,"HHL",5.52042979851517,0.785635282358284,13,0.433333333333333,"speaker1_5"
"134","speaker1",5,"HHL",5.7980676470383,1.06327313088141,14,0.466666666666667,"speaker1_5"
"135","speaker1",5,"HHL",5.92033612845306,1.18554161229617,15,0.5,"speaker1_5"
"136","speaker1",5,"HHL",5.91866056047644,1.18386604431955,16,0.533333333333333,"speaker1_5"
"137","speaker1",5,"HHL",5.86300215177215,1.12820763561526,17,0.566666666666667,"speaker1_5"
"138","speaker1",5,"HHL",5.81594058466348,1.08114606850659,18,0.6,"speaker1_5"
"139","speaker1",5,"HHL",5.82740290867707,1.09260839252018,19,0.633333333333333,"speaker1_5"
"140","speaker1",5,"HHL",5.8769750092591,1.14218049310221,20,0.666666666666667,"speaker1_5"
"141","speaker1",5,"HHL",5.92675634202514,1.19196182586825,21,0.7,"speaker1_5"
"142","speaker1",5,"HHL",5.95155807577695,1.21676355962006,22,0.733333333333333,"speaker1_5"
"143","speaker1",5,"HHL",5.96178531116652,1.22699079500963,23,0.766666666666667,"speaker1_5"
"144","speaker1",5,"HHL",5.9661466485697,1.23135213241281,24,0.8,"speaker1_5"
"145","speaker1",5,"HHL",5.94791805974143,1.21312354358454,25,0.833333333333333,"speaker1_5"
"146","speaker1",5,"HHL",5.90894490704738,1.17415039089049,26,0.866666666666667,"speaker1_5"
"147","speaker1",5,"HHL",5.88887962615764,1.15408511000075,27,0.9,"speaker1_5"
"148","speaker1",5,"HHL",5.85822453452411,1.12343001836722,28,0.933333333333333,"speaker1_5"
"149","speaker1",5,"HHL",5.7446794783775,1.00988496222061,29,0.966666666666667,"speaker1_5"
"150","speaker1",5,"HHL",5.56224627415033,0.827451757993442,30,1,"speaker1_5"
"151","speaker1",6,"LHH",4.15384103928596,-0.580953476870929,1,0.0333333333333333,"speaker1_6"
"152","speaker1",6,"LHH",3.9975871177179,-0.737207398438992,2,0.0666666666666667,"speaker1_6"
"153","speaker1",6,"LHH",3.91112096488686,-0.823673551270035,3,0.1,"speaker1_6"
"154","speaker1",6,"LHH",3.88024675486323,-0.854547761293666,4,0.133333333333333,"speaker1_6"
"155","speaker1",6,"LHH",3.81848517069376,-0.91630934546313,5,0.166666666666667,"speaker1_6"
"156","speaker1",6,"LHH",3.74915025815438,-0.985644258002512,6,0.2,"speaker1_6"
"157","speaker1",6,"LHH",3.72600479643996,-1.00878971971693,7,0.233333333333333,"speaker1_6"
"158","speaker1",6,"LHH",3.78419322296418,-0.950601293192714,8,0.266666666666667,"speaker1_6"
"159","speaker1",6,"LHH",3.86335076480287,-0.871443751354023,9,0.3,"speaker1_6"
"160","speaker1",6,"LHH",3.92665278925076,-0.808141726906132,10,0.333333333333333,"speaker1_6"
"161","speaker1",6,"LHH",4.00191842534931,-0.732876090807585,11,0.366666666666667,"speaker1_6"
"162","speaker1",6,"LHH",4.14443291235313,-0.590361603803759,12,0.4,"speaker1_6"
"163","speaker1",6,"LHH",4.35964051313996,-0.375154003016934,13,0.433333333333333,"speaker1_6"
"164","speaker1",6,"LHH",4.51659499705961,-0.21819951909728,14,0.466666666666667,"speaker1_6"
"165","speaker1",6,"LHH",4.64451673043239,-0.0902777857244983,15,0.5,"speaker1_6"
"166","speaker1",6,"LHH",4.82641840882022,0.0916238926633257,16,0.533333333333333,"speaker1_6"
"167","speaker1",6,"LHH",5.02637313832327,0.291578622166378,17,0.566666666666667,"speaker1_6"
"168","speaker1",6,"LHH",5.23553690201355,0.500742385856655,18,0.6,"speaker1_6"
"169","speaker1",6,"LHH",5.41441158791798,0.679617071761087,19,0.633333333333333,"speaker1_6"
"170","speaker1",6,"LHH",5.5336954089076,0.79890089275071,20,0.666666666666667,"speaker1_6"
"171","speaker1",6,"LHH",5.64680122700363,0.912006710846738,21,0.7,"speaker1_6"
"172","speaker1",6,"LHH",5.77608163112186,1.04128711496497,22,0.733333333333333,"speaker1_6"
